phase,run_id,group,seed,rollout_seed,step,framework_consistency,operator_case,reward,raw_reward,response_length,truncated_ratio,rollout_kl,train_loss,pg_loss,pg_clipfrac,entropy,ppo_kl,grad_norm,mean_abs_dlogp,max_abs_dlogp,mismatch_count,active_token_count,rollout_time,train_time,step_time,update_weights_time,actor_tokens_per_second,actor_train_tflops
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,49,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.29638099670410156,0.000947827473282814,0.0,0.013257095590233803,0.6850106120109558,35343.0,57344.0,67.37736177444458,6.392014980316162,93.6281807422638,15.063201904296875,9223.710591444718,59.77137308213693
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,50,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.2594350576400757,0.0007713806116953492,0.0,0.01235903799533844,0.7498743534088135,31943.0,57344.0,67.62307953834534,6.333682060241699,93.93626046180725,14.989206075668335,9332.352731252433,60.49500409427063
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,51,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.2508096694946289,0.0009767418960109353,0.0,0.011743410490453243,0.7691302299499512,30754.0,57344.0,67.28418636322021,6.369722127914429,93.82317733764648,15.303053855895996,9230.259772907475,59.7933971475037
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,52,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.26666396856307983,0.0008693314157426357,0.0,0.01264298614114523,0.7149931192398071,33782.0,57344.0,67.71640610694885,6.371352434158325,93.83361625671387,14.990099906921387,9269.330195777808,60.0813482596744
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,53,True,P/P,0.0,1.0,5233.5,0.0,0.0,0.0,0.0,0.0,0.23909378051757812,0.0008377513149753213,0.0,0.011449085548520088,0.7537249326705933,21770.0,41868.0,52.469178915023804,6.257869720458984,78.8018491268158,15.135361433029175,6905.171236126931,43.302127417388206
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,54,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.28538092970848083,0.0008234899141825736,0.0,0.013129748404026031,0.7198138236999512,38231.0,57344.0,67.50475215911865,6.443543195724487,93.90998101234436,15.054537773132324,9203.433604169111,59.685776580657645
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,55,True,P/P,0.0,0.75,6677.75,0.25,0.0,-0.00026410818099975586,-0.00026410818099975586,0.005386143922805786,0.2663571238517761,0.0009096003486774862,0.521946248884377,0.012554297223687172,0.7343463897705078,28903.0,53422.0,65.9813277721405,6.370711326599121,92.42027711868286,15.168467283248901,8618.754613021312,55.395723324670335
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,56,True,P/P,0.0,0.75,5243.125,0.25,0.0,0.000331193208694458,0.000331193208694458,0.0037555256858468056,0.18771588802337646,0.00043148433906026185,0.5189496276699032,0.009228058159351349,0.71006178855896,18917.0,41945.0,63.95794081687927,5.428218841552734,89.30646991729736,15.010161638259888,8047.684730199778,50.808059036030244
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,57,True,P/P,0.0,1.0,3335.75,0.0,0.0,0.0,0.0,0.0,0.24421292543411255,0.0006768715684302151,0.0,0.012128313072025776,0.4239920377731323,15431.0,26686.0,32.396788358688354,3.2927286624908447,55.692744731903076,15.113965272903442,8657.349169927984,52.49058081852197
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,58,True,P/P,0.0,1.0,5181.625,0.0,0.0,0.0,0.0,0.0,0.2310042679309845,0.0008368862909264863,0.0,0.010792052373290062,0.5970793962478638,21315.0,41453.0,56.80596470832825,5.50947904586792,82.09441423416138,15.05582308769226,7861.800115470691,49.40792635743914
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,59,True,P/P,0.0,1.0,5421.875,0.0,0.0,0.0,0.0,0.0,0.21457432210445404,0.0009814996737986803,0.0,0.010522632859647274,0.7265615463256836,22194.0,43375.0,56.95116090774536,6.271579027175903,83.14483404159546,15.092703580856323,7230.100430063068,45.553877405776426
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,60,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.2874848544597626,0.0008291081758216023,0.0,0.013705053366720676,0.9079194664955139,36965.0,57344.0,67.52107119560242,6.44205379486084,93.89828491210938,15.134571075439453,9239.47325673072,59.94606674666258
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,61,True,P/P,3.725290298461914e-09,0.125,7130.5,0.875,0.0,0.00015364587306976318,0.00015364587306976318,0.0028858319856226444,0.322539746761322,0.0006234465981833637,0.5457902504271389,0.0141767468303442,0.7929098010063171,38669.0,57044.0,67.48453283309937,6.356516361236572,94.40430998802185,15.311083793640137,9340.478188637007,60.58160343609727
